Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Library/Barcode,Success,15,1,2016-11-10 09:57:39 -0700,2016-11-17 10:22:37 -0700,0:00:00
Patient/Find,Success,1,0,2016-11-21 11:42:37 -0700,2016-11-21 11:42:37 -0700,0:00:00
Index/Clear Patients,Success,10,2,2016-08-08 10:56:26 -0600,2017-06-13 15:09:04 -0600,0:00:02
Logoff,Success,8,0,2017-04-11 14:37:49 -0600,2017-04-13 14:21:34 -0600,0:00:00
Library/MicroDicom,Success,32,0,2016-08-03 12:30:06 -0600,2017-04-28 08:40:06 -0600,0:00:00
Modules/DOBMod,Success,31,0,2016-09-08 14:12:07 -0600,2017-01-30 09:31:22 -0700,0:00:00
Patient/Visit,Success,5,2,2016-09-26 08:16:45 -0600,2016-09-26 08:20:13 -0600,0:00:00
Modules/ResultAlert,Success,9,2,2017-06-13 14:39:07 -0600,2017-06-16 08:36:54 -0600,0:00:04
Untitled,Success,15,0,2017-06-09 14:05:23 -0500,2017-06-16 09:54:27 -0600,0:00:00
Patient/Allergies,Success,1,0,2016-08-03 10:34:26 -0600,2016-08-03 10:34:26 -0600,0:00:00
Index/Index Dub Patient,Success,3,2,2017-02-01 14:50:34 -0700,2017-02-07 10:47:22 -0700,0:00:00
Index/Index Full Run,Success,40,7,2016-11-17 11:25:15 -0700,2017-06-08 09:23:14 -0600,0:00:15
CreatePatient,Success,21,3,2017-04-11 14:17:22 -0600,2017-04-13 14:23:17 -0600,0:00:00
Patient/New,Success,5,0,2016-11-10 08:08:18 -0700,2017-04-04 11:25:25 -0400,0:00:00
Modules/GlobalDefine,Success,2,0,2017-05-30 15:43:55 -0600,2017-05-31 10:24:08 -0600,0:00:00
Logon,Success,12,1,2017-04-11 14:08:46 -0600,2017-04-13 14:22:39 -0600,0:00:00
Index/index Conference,Success,2,1,2017-05-09 11:07:01 -0400,2017-06-08 09:37:37 -0600,0:00:00
Index/Index No CSV,Success,21,8,2016-11-29 15:47:47 -0700,2017-02-15 16:40:05 -0700,0:00:00
Modules/DNC,Success,14,0,2016-11-29 16:08:32 -0700,2016-11-30 14:39:01 -0700,0:00:00
Index/Index,Success,20,15,2016-08-03 10:11:29 -0600,2017-06-13 15:09:52 -0600,0:00:20
