Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Library/Barcode,Success,15,1,2016-11-10 09:57:39 -0700,2016-11-17 10:22:37 -0700,0:00:00
Modules/Patient,Success,1,0,2017-07-05 13:29:55 -0600,2017-07-05 13:29:55 -0600,0:00:00
Library/ResultAlert,Success,9,2,2017-06-13 14:39:07 -0600,2017-06-16 08:36:54 -0600,0:00:00
Patient/Find,Success,1,0,2016-11-21 11:42:37 -0700,2016-11-21 11:42:37 -0700,0:00:00
Index/Clear Patients,Success,10,2,2016-08-08 10:56:26 -0600,2017-06-13 15:09:04 -0600,0:00:00
Logoff,Success,8,0,2017-04-11 14:37:49 -0600,2017-04-13 14:21:34 -0600,0:00:00
TestBuild,Success,26,2,2017-07-05 11:57:10 -0600,2017-07-05 14:04:52 -0600,0:00:06
Library/MicroDicom,Success,33,0,2016-08-03 12:30:06 -0600,2017-07-05 08:56:00 -0600,0:00:01
Modules/DOBMod,Success,35,0,2016-09-08 14:12:07 -0600,2017-07-05 08:49:09 -0600,0:00:01
Patient/Visit,Success,5,2,2016-09-26 08:16:45 -0600,2016-09-26 08:20:13 -0600,0:00:00
Patient/Allergies,Success,1,0,2016-08-03 10:34:26 -0600,2016-08-03 10:34:26 -0600,0:00:00
Index/Index Dub Patient,Success,3,2,2017-02-01 14:50:34 -0700,2017-02-07 10:47:22 -0700,0:00:00
Index/Index Full Run,Success,40,7,2016-11-17 11:25:15 -0700,2017-06-08 09:23:14 -0600,0:00:00
CreatePatient,Success,21,3,2017-04-11 14:17:22 -0600,2017-04-13 14:23:17 -0600,0:00:00
Patient/New,Success,6,0,2016-11-10 08:08:18 -0700,2017-07-05 14:01:00 -0600,0:00:00
Logon,Success,12,1,2017-04-11 14:08:46 -0600,2017-04-13 14:22:39 -0600,0:00:00
Index/index Conference,Failure,3,2,2017-05-09 11:07:01 -0400,2017-06-30 19:57:14 -0600,0:00:00
Index/Index No CSV,Success,48,8,2016-11-29 15:47:47 -0700,2017-07-05 11:36:23 -0600,0:00:02
Modules/DNC,Success,14,0,2016-11-29 16:08:32 -0700,2016-11-30 14:39:01 -0700,0:00:00
Index/Index,Failure,22,17,2016-08-03 10:11:29 -0600,2017-07-05 08:15:51 -0600,0:00:00
